"","Agricultura, valor agregado (% del PIB)","PIB per cápita (US$ a precios actuales)","Ahorro bruto (% del PIB)","Desempleo, total (% de la población activa total) (estimación modelado OIT)","pc1_economia","pc2_economia"
"DOM",5.57406453048298,8375.28287081333,25.3156506060092,6.224,-1181.53245464197,7404.0297935666
"DZA",12.3512821333426,3918.1758965142,38.4427886988261,12.9562,-2406.484148361,-1560.14230523615
"EAP",7.95326866624136,8829.42163752993,42.2366257079298,4.16589493029107,5502.23771172828,-255.392429493505
"EAR",11.0084553972848,3617.97152716237,26.0131069590791,6.21040922724148,1649.11119030556,-830.709539897207
"EAS",5.68933567759771,12070.8098643414,37.1220851172105,4.07096591897694,-1707.38395338537,10671.4325471788
"ECA",5.53113683294289,8589.7628984584,27.7591026744787,6.61826385712854,-5317.75305131806,-3432.65760497041
"ECS",2.03856396590542,25829.7270752044,25.0808419785566,6.38133908240042,16065.4285966364,-720.617504830161
"ECU",9.16968842412917,6111.24444242894,24.9904919909008,4.3604,2786.17452782293,-1417.24500474945
"EGY",11.0153789024389,3460.4290629897,14.0633395110436,7.185,-483.574247163578,3055.51603214786
"EMU",1.51285550081513,39977.2429003472,25.3308310194905,7.25532170709987,-24821.0315968937,-15988.8045238123
"ERI",20.4733031009718,532.082768534035,18.6890588543949,6.1446,325.691723838324,-21.965374712409
"ESP",2.62115813620452,29421.7802360642,22.1621471421195,13.8934,13406.0055347462,-6906.04828644118
"EST",2.21058609186403,25275.2750164037,28.6216326971245,5.9316,-3550.64244415228,22367.08887359
"ETH",35.1257091895679,893.997299675678,33.1630792376089,3.4864,-538.197326968309,-328.170998719245
"EUU",1.62816312980251,36268.4075775161,25.4896943649283,6.57079076583654,22554.6862926826,-1011.17803791193
"FIN",2.38374367021121,50432.7655649752,24.260425424407,7.1502,22990.6055835852,-11843.2987364624
"FJI",12.8884462829816,5365.80473455957,7.21551814226108,4.5428,-746.786022629372,4744.9443798527
"FRA",1.65634192449779,41158.0118180223,22.7963882305878,8.41,-25555.771794811,-16461.0925350183
"GAB",5.85544551119608,7870.99909544773,41.7444006360243,20.8366,4905.21344648275,-212.977807332531
