"","Consumo de energía renovable (% del consumo total de energía final)","Consumo de energía procedente de combustibles fósiles (% del total)","Emisiones de CO2 (toneladas métricas per cápita)","Electric power consumption (kWh per capita)","pc1_ambiental","pc2_ambiental"
"TJK",41.66,38.6230677100846,0.842385820881813,1869.77344790501,599.857365850386,-1417.55821035887
"TLA",30.9097243134046,76.5300414761882,2.74612974209328,2118.2442382214,-1141.39882394937,-783.079335274542
"TMN",2.61282731412848,97.9943973076872,3.5816660225212,1606.74480208053,916.913581272922,579.622897354636
"TSA",35.6073271951881,70.0600797211239,1.43606077727748,630.911066925981,301.522634846301,-276.810374793376
"TSS",68.8470066982143,39.1074467966522,0.728677926462777,493.946524949856,141.923706532279,-383.784786594112
"TTO",0.442,99.9272829401337,12.4489393124758,6229.61945103721,-3470.50346671558,-2298.60592736897
"TUN",12.24,88.2245813057217,2.55642137374403,1355.68032452867,780.919115416516,481.438586649405
"TUR",12.86,88.7848739743978,4.95109254342936,2695.37351244831,1361.88190697738,-1001.29852667754
"TZA",84.948,13.4722903883352,0.218728998776409,95.5690676269595,-9.79457253868804,-97.7836308600372
"UKR",7.008,80.4538000297851,4.04605274594027,3574.32749660743,-1976.46602147695,-1321.99580727867
"UMC",14.7068028536502,87.1578391565222,5.86870344340412,3050.11888544184,1714.38954103344,1172.1474682625
"URY",60.48,52.7360669989562,1.89802254842791,2940.98596586165,1523.98562093578,-1113.22767329113
"USA",10.216,83.1217221483994,14.5803709852416,13120.592354072,4269.94496727018,-9925.06887499271
"UZB",1.488,97.9628639534757,3.39919015735802,1635.68754298564,-873.043158287508,-628.659589763512
"VEN",16.498,88.6110246301091,4.89458472114406,3137.76221687078,1764.67370303679,1206.55086952734
"VNM",23.968,68.4846805497053,3.01756080345219,1213.24427378162,603.150208262404,-474.487858409311
"WLD",18.4332108479015,81.2305622950874,4.5307894757553,3031.34846600593,1012.22822566236,-2273.9616595073
"YEM",3.006,98.4268547209148,0.33943311230658,207.772309901765,-64.5453418237985,-109.30516485241
"ZAF",8.534,87.0045706993467,7.45442903541083,4363.16619219466,2434.30774167761,1710.11670063732
"ZMB",82.03,9.02611956822472,0.393497616878906,671.35239151896,371.525496814094,-304.786358274146
"ZWE",82.202,27.0471824631576,0.663077551278192,609.632554713517,164.906502750503,-481.24956884238
