"","Gasto público en educación, total (% del gasto del gobierno)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)","Proporción alumnos-maestro, nivel primario","Inscripción escolar, nivel primario (% neto)","Inscripción escolar, nivel secundario (% neto)","Maestros capacitados en educación de nivel primario (% del total de maestros)","pc1_educacion","pc2_educacion"
"LVA",14.223749923706,99.8899993896484,11.249756,96.012886,93.307024,100,171.81431646441,-81.6670083937282
"MAC",13.7954521179199,97.1100006103516,13.729032,94.929612,81.258536,98.9116409301758,-10.2598867137464,-169.484992728016
"MAR",23.1380149841308,77.3499984741211,26.594836,95.9674475,63.979695,100,166.0417070848,-64.7698200528492
"MDA",17.438053894043,99.5999984741211,17.458142,86.740856,77.13382,100,-29.8691883423686,-113.704697552718
"MDG",16.4955156326294,77.0798416137695,41.71542,95.60378,30.083652,14.9522621154785,120.52459057788,-42.2666095730384
"MDV",10.8330865859985,97.8600006103516,10.80277,95.9351033333333,37.7791533333333,87.9123657226562,11.1036735708692,-93.3622515858863
"MEA",14.5420598983765,79.6965927124024,20.51911,93.437056,71.669748,86.0554611206055,153.121288792785,-69.2485042388383
"MEX",17.9393291473389,95.1150398254395,27.69096,97.57591,79.127348,88.7628463745117,-8.37947583934866,-165.689034974166
"MIC",14.9163011550903,86.3746948242188,23.565376,90.047418,67.545812,86.5765228271484,160.228396636626,-56.947379918044
"MLI",16.4858753204346,35.4737701416016,40.062854,58.425978,31.639906,50.8502782185873,8.84960367872839,-69.6224020301109
"MLT",13.3284595489502,94.9400024414062,13.348524,99.071318,89.496404,81.748161315918,166.806574083753,-71.4919617983512
"MMR",9.30074882507324,82.3105735778809,24.252645,97.2418933333333,57.178815,99.5479888916016,11.3447223849796,-115.493591588757
"MNA",15.742644627889,76.6429534912109,22.639426,92.952682,69.36919,83.8477783203125,151.396172287666,-67.9010714509891
"MNG",11.7253247261047,99.1832733154297,29.17711,96.802684,78.714054,93.9641418457031,-15.0811542641238,-171.075888660473
"MOZ",18.4127059936524,60.6554298400879,54.16169,91.19919,18.784036,98.2039604187012,142.654737798011,-67.7631949985445
"MRT",10.2280197143555,66.9599990844727,35.437294,76.7012725,27.061596,91.7510833740234,13.5651106296146,-81.3057108015001
"MUS",15.8099765777588,92.1500015258789,17.896856,95.571008,84.6273725,100,171.56171096486,-76.1263674974154
"MWI",17.15339012146,68.0800018310547,72.71752,96.875044,33.7461525,91.6993846893311,-13.2928698721585,-157.974965673124
